protocol_type,src_ip,dst_ip,sport,dport,tcp_flags,packet_size,ttl,service,flag,duration,flow_duration,packet_rate,packet_count,byte_count,avg_packet_size,syn_count,ack_count,fin_count,rst_count,prediction
udp,172.24.240.1,224.0.0.251,5353,5353,None,90,1,mdns,OTH,0.2609372138977051,0.2609372138977051,11.497018593814245,3,405,135.0,0,0,0,0,normal
udp,172.24.240.1,224.0.0.251,5353,5353,None,90,1,mdns,OTH,0.5265579223632812,0.5265579223632812,7.5965052088615845,4,495,123.75,0,0,0,0,normal
udp,172.24.240.1,224.0.0.251,5353,5353,None,287,1,mdns,OTH,0.7932267189025879,0.7932267189025879,6.303368105044914,5,782,156.4,0,0,0,0,normal
udp,172.24.240.1,224.0.0.251,5353,5353,None,226,1,mdns,OTH,0.7960035800933838,0.7960035800933838,7.537654540820162,6,1008,168.0,0,0,0,0,normal
udp,172.24.240.1,239.255.255.250,62931,1900,None,212,1,other,OTH,0.0,0.0,0.0,1,212,212.0,0,0,0,0,neptune
udp,172.24.240.1,239.255.255.250,62931,1900,None,212,1,other,OTH,1.0136709213256836,1.0136709213256836,1.973026904416268,2,424,212.0,0,0,0,0,normal
udp,172.24.240.1,239.255.255.250,62931,1900,None,212,1,other,OTH,2.02050518989563,2.02050518989563,1.4847771809756976,3,636,212.0,0,0,0,0,normal
udp,172.24.240.1,239.255.255.250,62931,1900,None,212,1,other,OTH,3.0329394340515137,3.0329394340515137,1.3188525807970557,4,848,212.0,0,0,0,0,normal
udp,172.24.245.120,185.125.190.57,54542,123,None,90,64,ntp,OTH,0.0,0.0,0.0,1,90,90.0,0,0,0,0,neptune
udp,185.125.190.57,172.24.245.120,123,54542,None,90,48,other,OTH,0.0,0.0,0.0,1,90,90.0,0,0,0,0,neptune
udp,172.24.245.120,185.125.190.57,43457,123,None,90,64,ntp,OTH,0.0,0.0,0.0,1,90,90.0,0,0,0,0,neptune
udp,185.125.190.57,172.24.245.120,123,43457,None,90,48,other,OTH,0.0,0.0,0.0,1,90,90.0,0,0,0,0,neptune
icmp,172.24.245.120,8.8.8.8,0,0,None,98,64,other,OTH,0.0,0.0,0.0,1,98,98.0,0,0,0,0,neptune
icmp,8.8.8.8,172.24.245.120,0,0,None,98,112,other,OTH,0.0,0.0,0.0,1,98,98.0,0,0,0,0,neptune
icmp,172.24.245.120,8.8.8.8,0,0,None,98,64,other,OTH,1.0004522800445557,1.0004522800445557,1.9990958488404154,2,196,98.0,0,0,0,0,normal
icmp,8.8.8.8,172.24.245.120,0,0,None,98,112,other,OTH,0.5784835815429688,0.5784835815429688,3.457315062711842,2,196,98.0,0,0,0,0,normal
